"Original 1.5DF.spc - RawData"
"Wavelength nm.","Abs."
1003.00,0.225
1003.50,0.224
1004.00,0.216
1004.50,0.215
1005.00,0.218
1005.50,0.220
1006.00,0.220
1006.50,0.216
1007.00,0.211
1007.50,0.215
1008.00,0.216
1008.50,0.212
1009.00,0.213
1009.50,0.211
1010.00,0.210
1010.50,0.208
1011.00,0.208
1011.50,0.208
1012.00,0.206
1012.50,0.205
1013.00,0.201
1013.50,0.201
1014.00,0.204
1014.50,0.212
1015.00,0.212
1015.50,0.208
1016.00,0.204
1016.50,0.204
1017.00,0.204
1017.50,0.203
1018.00,0.206
1018.50,0.207
1019.00,0.204
1019.50,0.201
1020.00,0.202
1020.50,0.204
1021.00,0.200
1021.50,0.195
1022.00,0.194
1022.50,0.192
1023.00,0.189
1023.50,0.189
1024.00,0.193
1024.50,0.193
1025.00,0.192
1025.50,0.192
1026.00,0.191
1026.50,0.190
1027.00,0.187
1027.50,0.185
1028.00,0.186
1028.50,0.191
1029.00,0.192
1029.50,0.191
1030.00,0.190
1030.50,0.187
1031.00,0.185
1031.50,0.180
1032.00,0.175
1032.50,0.180
1033.00,0.186
1033.50,0.190
1034.00,0.190
1034.50,0.187
1035.00,0.186
1035.50,0.184
1036.00,0.183
1036.50,0.182
1037.00,0.178
1037.50,0.176
1038.00,0.177
1038.50,0.178
1039.00,0.181
1039.50,0.183
1040.00,0.181
1040.50,0.176
1041.00,0.178
1041.50,0.180
1042.00,0.177
1042.50,0.177
1043.00,0.178
1043.50,0.176
1044.00,0.173
1044.50,0.170
1045.00,0.168
1045.50,0.171
1046.00,0.175
1046.50,0.174
1047.00,0.174
1047.50,0.181
1048.00,0.178
1048.50,0.173
1049.00,0.176
1049.50,0.175
1050.00,0.177
1050.50,0.175
1051.00,0.174
1051.50,0.177
1052.00,0.179
1052.50,0.175
1053.00,0.175
1053.50,0.172
1054.00,0.165
1054.50,0.163
1055.00,0.161
1055.50,0.161
1056.00,0.162
1056.50,0.165
1057.00,0.167
1057.50,0.166
1058.00,0.167
1058.50,0.163
1059.00,0.164
1059.50,0.166
1060.00,0.167
1060.50,0.169
1061.00,0.171
1061.50,0.169
1062.00,0.163
1062.50,0.163
1063.00,0.164
1063.50,0.160
1064.00,0.162
1064.50,0.160
1065.00,0.160
1065.50,0.168
1066.00,0.168
1066.50,0.168
1067.00,0.165
1067.50,0.164
1068.00,0.169
1068.50,0.171
1069.00,0.172
1069.50,0.178
1070.00,0.183
1070.50,0.182
1071.00,0.183
1071.50,0.182
1072.00,0.186
1072.50,0.191
1073.00,0.185
1073.50,0.173
1074.00,0.161
1074.50,0.153
1075.00,0.152
1075.50,0.155
1076.00,0.157
1076.50,0.158
1077.00,0.160
1077.50,0.159
1078.00,0.156
1078.50,0.157
1079.00,0.160
1079.50,0.160
1080.00,0.157
1080.50,0.158
1081.00,0.161
1081.50,0.161
1082.00,0.158
1082.50,0.155
1083.00,0.157
1083.50,0.160
1084.00,0.158
1084.50,0.155
1085.00,0.156
1085.50,0.157
1086.00,0.158
1086.50,0.158
1087.00,0.161
1087.50,0.162
1088.00,0.163
1088.50,0.163
1089.00,0.162
1089.50,0.162
1090.00,0.162
1090.50,0.163
1091.00,0.161
1091.50,0.157
1092.00,0.160
1092.50,0.158
1093.00,0.152
1093.50,0.152
1094.00,0.155
1094.50,0.157
1095.00,0.159
1095.50,0.160
1096.00,0.159
1096.50,0.160
1097.00,0.160
1097.50,0.161
1098.00,0.161
1098.50,0.158
1099.00,0.158
1099.50,0.160
1100.00,0.158
