A	B
1362.42288	20.02329
1363.55804	18.83324
1364.6929	19.18648
1365.82747	19.1268
1366.96176	18.29948
1368.09575	17.89461
1369.22945	18.24956
1370.36286	18.57973
1371.49598	18.78581
1372.62881	19.72717
1373.76136	20.4273
1374.89361	20.61299
1376.02557	20.02758
1377.15724	19.1518
1378.28862	17.56042
1379.41972	17.07782
1380.55052	18.50649
1381.68103	20.33015
1382.81126	20.29591
1383.94119	18.85681
1385.07084	17.81154
1386.2002	17.55845
1387.32926	17.65705
1388.45804	17.6852
1389.58653	17.65643
1390.71473	17.79951
1391.84265	18.69634
1392.97027	20.61804
1394.0976	21.94368
1395.22465	20.92247
1396.35141	18.23823
1397.47787	16.82614
1398.60405	17.51857
1399.72995	18.8006
1400.85555	19.60157
1401.98087	20.2216
1403.10589	20.77671
1404.23063	20.79575
1405.35508	20.43698
1406.47925	19.94647
1407.60312	19.77054
1408.72671	20.22203
1409.85001	20.75324
1410.97302	20.08516
1412.09575	17.72778
1413.21819	15.50122
1414.34034	14.81877
1415.4622	15.93737
1416.58377	17.3491
1417.70506	18.49548
1418.82606	18.96571
1419.94678	18.62734
1421.0672	17.1239
1422.18734	15.62537
1423.30719	14.76468
1424.42676	14.5864
1425.54604	14.63767
1426.66503	16.01501
1427.78374	17.55521
1428.90216	18.53202
1430.02029	17.98956
1431.13814	17.25824
1432.2557	15.88156
1433.37297	15.53992
1434.48996	16.15526
1435.60666	17.38069
1436.72308	17.34606
1437.83921	16.87873
1438.95505	16.78739
1440.07061	17.70882
1441.18588	18.3303
1442.30087	17.81264
1443.41557	16.70274
1444.52998	16.72999
1445.64411	17.51596
1446.75796	18.02249
1447.87152	17.26228
1448.98479	15.46337
1450.09778	13.3466
1451.21048	12.86941
1452.3229	14.48575
1453.43503	16.7223
1454.54688	17.97755
1455.65844	17.72499
1456.76972	16.41306
1457.88071	15.29505
1458.99142	15.54117
1460.10185	16.63792
1461.21199	17.32062
1462.32184	17.35787
1463.43141	17.13983
1464.5407	17.14445
1465.6497	17.92875
1466.75842	18.96367
1467.86685	18.86308
1468.975	17.1873
1470.08287	15.44351
1471.19045	14.79486
1472.29775	15.17065
1473.40476	16.33012
1474.51149	17.9888
1475.61794	19.21105
1476.7241	18.35244
1477.82998	15.82776
1478.93558	14.24511
1480.04089	15.28354
1481.14592	17.23781
1482.25067	18.3482
1483.35513	18.91386
1484.45931	19.33259
1485.56321	18.7516
