LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
	10655.43158	1.7441E-6	8241.78956	0.00357	938.4885	1.98022E-14	3.47156E-13
	10640.43388	1.85973E-6	8800.58699	0.00381	939.8113	2.10557E-14	3.66386E-13
	10625.47722	1.94281E-6	9206.68981	0.00399	941.1342	2.19345E-14	3.78549E-13
	10610.55916	1.66972E-6	7923.66306	0.00343	942.4574	1.87984E-14	3.20348E-13
	10595.68069	1.63006E-6	7746.3234	0.00335	943.7808	1.83004E-14	3.06883E-13
	10580.84277	2.24351E-6	10676.48477	0.00462	945.1043	2.5117E-14	4.13676E-13
	10566.043	2.98664E-6	14232.81945	0.00616	946.4281	3.33432E-14	5.3888E-13
	10551.28234	3.66458E-6	17487.97674	0.00757	947.7521	4.07976E-14	6.46155E-13
	10536.56176	4.02092E-6	19215.28333	0.00832	949.0762	4.46399E-14	6.90807E-13
	10521.87888	4.15399E-6	19878.94625	0.00861	950.4006	4.59888E-14	6.95958E-13
	10507.23465	4.64263E-6	22248.29925	0.00963	951.7252	5.12556E-14	7.62839E-13
	10492.62893	5.34422E-6	25646.0584	0.0111	953.05	5.88373E-14	8.60488E-13
	10478.06046	6.29612E-6	30256.11331	0.0131	954.3751	6.9125E-14	9.83004E-13
	10463.5313	7.55108E-6	36337.19812	0.01573	955.7003	8.26733E-14	1.13765E-12
	10449.04128	8.95347E-6	43145.50921	0.01868	957.0256	9.77562E-14	1.30655E-12
	10434.58698	1.03702E-5	50041.59724	0.02166	958.3513	1.12911E-13	1.46593E-12
	10420.17153	1.13695E-5	54939.63408	0.02378	959.6771	1.2345E-13	1.55569E-12
	10405.7937	1.20797E-5	58452.24222	0.0253	961.0031	1.30799E-13	1.604E-12
	10391.45332	1.29571E-5	62784.44051	0.02718	962.3293	1.39914E-13	1.67319E-12
