WAVENUMBER	INTENSITY	A1	A2	B
1/cm	Counts/s	SC+M Total Fit	SC lorentzian	M BWF
				
	5 pts SG smooth of INTENSITY"Counts/s"			
376.87746	-5.01775	4.24045	0.00835	4.2321
378.26467	-6.14313	4.2409	0.00837	4.23253
379.65152	-6.73183	4.24135	0.00839	4.23296
381.03802	-6.56708	4.24181	0.00841	4.2334
382.42415	-6.1411	4.24226	0.00843	4.23383
383.80994	-5.8723	4.24272	0.00845	4.23427
385.19537	-5.72979	4.24317	0.00847	4.2347
386.58044	-5.8145	4.24363	0.00849	4.23514
387.96516	-6.35896	4.24409	0.00851	4.23558
389.34952	-6.97314	4.24455	0.00853	4.23602
390.73352	-7.20836	4.24501	0.00855	4.23646
392.11718	-6.9592	4.24547	0.00857	4.2369
393.50047	-6.96385	4.24593	0.00859	4.23734
394.88341	-7.58876	4.24639	0.00861	4.23778
396.266	-8.16699	4.24686	0.00863	4.23823
397.64823	-8.16118	4.24732	0.00865	4.23867
399.03011	-7.98683	4.24779	0.00867	4.23912
400.41164	-8.26311	4.24825	0.00869	4.23957
401.7928	-8.01293	4.24872	0.00871	4.24001
403.17362	-6.77492	4.24919	0.00873	4.24046
404.55408	-5.26819	4.24966	0.00875	4.24091
405.93418	-4.9916	4.25013	0.00877	4.24136
407.31394	-5.52036	4.25061	0.00879	4.24181
408.69334	-5.8655	4.25108	0.00881	4.24227
410.07238	-5.56811	4.25155	0.00883	4.24272
411.45107	-5.35623	4.25203	0.00885	4.24318
412.82941	-5.60697	4.25251	0.00887	4.24363
414.20739	-6.14451	4.25298	0.00889	4.24409
415.58502	-6.66498	4.25346	0.00892	4.24455
416.9623	-7.01644	4.25394	0.00894	4.24501
418.33922	-6.9206	4.25442	0.00896	4.24547
419.71579	-6.16061	4.25491	0.00898	4.24593
421.09201	-5.17885	4.25539	0.009	4.24639
422.46787	-5.00623	4.25587	0.00902	4.24685
423.84339	-5.40892	4.25636	0.00904	4.24732
425.21855	-5.58903	4.25685	0.00906	4.24778
426.59335	-5.03753	4.25733	0.00909	4.24825
427.96781	-4.58215	4.25782	0.00911	4.24871
429.34191	-4.83185	4.25831	0.00913	4.24918
430.71566	-6.03873	4.2588	0.00915	4.24965
432.08905	-7.38564	4.25929	0.00917	4.25012
433.4621	-7.45221	4.25979	0.0092	4.25059
434.83479	-6.77888	4.26028	0.00922	4.25106
436.20713	-6.68452	4.26078	0.00924	4.25154
437.57912	-7.85072	4.26127	0.00926	4.25201
438.95075	-7.95242	4.26177	0.00928	4.25249
440.32204	-6.61444	4.26227	0.00931	4.25296
441.69297	-4.33726	4.26277	0.00933	4.25344
443.06356	-3.51595	4.26327	0.00935	4.25392
444.43379	-3.8654	4.26377	0.00937	4.2544
445.80367	-5.61	4.26428	0.0094	4.25488
447.17319	-6.29128	4.26478	0.00942	4.25536
448.54237	-5.21283	4.26529	0.00944	4.25585
449.9112	-1.4564	4.2658	0.00946	4.25633
451.27967	0.83417	4.2663	0.00949	4.25682
452.6478	0.41656	4.26681	0.00951	4.2573
454.01557	-2.21286	4.26732	0.00953	4.25779
455.38299	-3.49263	4.26783	0.00956	4.25828
456.75006	-4.44317	4.26835	0.00958	4.25877
458.11679	-5.61041	4.26886	0.0096	4.25926
459.48316	-6.99832	4.26938	0.00963	4.25975
460.84918	-7.43722	4.26989	0.00965	4.26024
462.21485	-7.52198	4.27041	0.00967	4.26074
463.58017	-7.53094	4.27093	0.0097	4.26123
464.94514	-7.21441	4.27145	0.00972	4.26173
466.30976	-6.6556	4.27197	0.00974	4.26223
467.67403	-6.38707	4.27249	0.00977	4.26273
469.03796	-6.50395	4.27302	0.00979	4.26323
470.40153	-6.67619	4.27354	0.00982	4.26373
471.76475	-6.98296	4.27407	0.00984	4.26423
473.12762	-7.32588	4.2746	0.00986	4.26473
474.49015	-7.17608	4.27513	0.00989	4.26524
475.85232	-6.2102	4.27566	0.00991	4.26574
477.21415	-5.20052	4.27619	0.00994	4.26625
478.57563	-4.3844	4.27672	0.00996	4.26676
479.93675	-4.06773	4.27725	0.00999	4.26727
481.29753	-4.3269	4.27779	0.01001	4.26778
482.65796	-5.64827	4.27833	0.01004	4.26829
484.01804	-6.72756	4.27886	0.01006	4.2688
485.37778	-6.50671	4.2794	0.01008	4.26932
486.73716	-4.80461	4.27994	0.01011	4.26983
488.0962	-3.60129	4.28048	0.01014	4.27035
489.45489	-4.29199	4.28103	0.01016	4.27087
490.81323	-6.09174	4.28157	0.01019	4.27138
492.17122	-6.91333	4.28212	0.01021	4.2719
493.52886	-6.03624	4.28266	0.01024	4.27243
494.88616	-4.9202	4.28321	0.01026	4.27295
496.24311	-4.44497	4.28376	0.01029	4.27347
497.59971	-4.76438	4.28431	0.01031	4.274
498.95596	-4.91294	4.28486	0.01034	4.27452
500.31187	-4.54399	4.28542	0.01036	4.27505
501.66742	-3.56248	4.28597	0.01039	4.27558
503.02263	-3.33282	4.28653	0.01042	4.27611
504.3775	-4.28979	4.28708	0.01044	4.27664
505.73201	-5.75213	4.28764	0.01047	4.27717
507.08618	-6.42412	4.2882	0.0105	4.27771
508.44001	-6.31027	4.28876	0.01052	4.27824
509.79348	-5.8756	4.28933	0.01055	4.27878
511.14661	-5.37683	4.28989	0.01058	4.27932
512.49939	-4.89305	4.29046	0.0106	4.27985
513.85183	-4.2051	4.29102	0.01063	4.28039
515.20392	-3.68818	4.29159	0.01066	4.28094
516.55566	-3.76107	4.29216	0.01068	4.28148
