WAVELENGTH	ABS
nm	Abs
565.73154	0.43894
565.89136	0.43903
566.05118	0.4391
566.21098	0.43909
566.37078	0.43904
566.53057	0.43894
566.69036	0.43881
566.85013	0.43868
567.0099	0.43851
567.16966	0.43851
567.32942	0.43867
567.48916	0.4388
567.6489	0.43878
567.80863	0.43873
567.96835	0.43888
568.12807	0.43904
568.28778	0.43893
568.44748	0.4387
568.60717	0.43853
568.76686	0.43858
568.92653	0.43877
569.0862	0.43884
569.24586	0.43891
569.40552	0.4389
569.56517	0.43878
569.72481	0.43864
569.88444	0.43847
570.04406	0.43834
570.20368	0.43804
570.36329	0.43789
570.52289	0.43807
570.68248	0.43814
570.84207	0.43813
571.00165	0.43796
571.16122	0.43771
571.32078	0.43766
571.48034	0.43771
571.63989	0.43783
571.79943	0.43791
571.95896	0.43777
572.11848	0.43763
572.278	0.43756
572.43751	0.4374
572.59701	0.43728
572.75651	0.43723
572.91599	0.4371
573.07547	0.43707
573.23495	0.43727
573.39441	0.43745
573.55387	0.43738
573.71332	0.43723
573.87276	0.43706
574.03219	0.43689
574.19162	0.43694
574.35103	0.43696
574.51045	0.43674
574.66985	0.43652
574.82924	0.43642
574.98863	0.43643
575.14801	0.43644
575.30738	0.43647
575.46675	0.43655
575.62611	0.43664
575.78546	0.43658
575.9448	0.43636
576.10413	0.43613
576.26346	0.43596
576.42278	0.43606
576.58209	0.43629
576.74139	0.43618
576.90069	0.43603
577.05997	0.43583
577.21926	0.43542
577.37853	0.43516
577.53779	0.4351
577.69705	0.43526
577.8563	0.43561
578.01554	0.43573
578.17478	0.43554
578.334	0.43546
578.49322	0.43552
578.65243	0.43546
578.81164	0.43547
578.97083	0.4356
579.13002	0.43592
579.2892	0.43618
579.44838	0.43613
579.60754	0.43624
579.7667	0.43642
579.92585	0.43639
580.08499	0.43626
580.24413	0.43624
580.40325	0.43642
580.56237	0.43648
580.72148	0.43631
580.88059	0.43602
581.03968	0.43592
581.19877	0.4359
581.35785	0.43575
581.51692	0.4358
581.67599	0.43607
581.83505	0.43641
581.9941	0.43676
582.15314	0.43685
582.31217	0.43682
582.4712	0.43686
582.63022	0.43702
582.78923	0.43719
582.94823	0.43732
583.10723	0.43759
583.26622	0.43786
583.4252	0.43791
583.58417	0.43799
583.74313	0.43812
583.90209	0.43818
584.06104	0.43826
584.21998	0.43831
584.37892	0.43842
584.53784	0.43872
584.69676	0.43895
584.85567	0.43903
585.01458	0.43909
585.17347	0.43919
585.33236	0.43932
585.49124	0.43946
585.65011	0.43965
585.80897	0.43986
585.96783	0.4401
586.12668	0.44035
586.28552	0.44043
586.44435	0.44045
586.60318	0.44061
586.762	0.44075
586.92081	0.4409
587.07961	0.44118
587.2384	0.44141
587.39719	0.44144
587.55597	0.44148
587.71474	0.44153
587.87351	0.44157
588.03226	0.44179
588.19101	0.4423
588.34975	0.44262
588.50848	0.44269
588.66721	0.44326
588.82592	0.444
588.98463	0.4443
589.14333	0.44429
589.30203	0.44434
589.46071	0.44467
589.61939	0.44498
589.77806	0.44499
589.93673	0.44481
590.09538	0.4446
590.25403	0.44444
590.41267	0.4446
590.5713	0.44496
590.72992	0.44503
590.88854	0.44483
591.04715	0.4448
591.20575	0.4449
591.36434	0.4449
591.52292	0.44492
591.6815	0.44516
591.84007	0.44558
591.99863	0.44605
592.15718	0.44621
592.31573	0.44583
592.47427	0.44557
592.6328	0.44575
592.79132	0.44607
592.94983	0.44642
593.10834	0.44646
593.26684	0.4463
593.42533	0.44627
593.58381	0.44637
593.74229	0.44651
593.90076	0.44651
594.05922	0.44648
594.21767	0.44641
594.37611	0.44622
594.53455	0.44608
594.69298	0.44611
594.8514	0.44631
595.00981	0.44656
595.16822	0.44661
595.32661	0.44662
595.485	0.44682
595.64339	0.44705
595.80176	0.44716
595.96013	0.44716
596.11848	0.44694
596.27683	0.44652
596.43518	0.44637
596.59351	0.44644
596.75184	0.44639
596.91016	0.44651
597.06847	0.4466
597.22677	0.44628
597.38507	0.44613
597.54335	0.44619
597.70163	0.44611
597.85991	0.44613
598.01817	0.44624
598.17643	0.44619
598.33468	0.44586
598.49292	0.4457
598.65115	0.44579
598.80937	0.4456
598.96759	0.4453
599.1258	0.4452
599.284	0.44515
599.44219	0.44499
599.60038	0.44493
599.75856	0.44505
599.91673	0.44512
